relation_type,source_id,target_id,weight,source_book,page,evidence
COVERS,E00001,E06529,3,船舶电气设备维修指南,73,"这类电器有接触器,各种继电器,行程开关,主令器,变阻器,电磁铁等"
COVERS,E02938,E20669,1,船舶柴油机故障实例 (张庆信编),24,"只要柴油机的启动、换向阀件和管系正常,柴油机的启动、换向和停车操纵是非常简单的"
COVERS,E02938,E48690,1,船舶柴油机故障实例 (张庆信编),25,"利用转速n为横座标,功率Ne为纵座标,用曲线描绘出两者的变化关系,就是柴油机的外特性曲线(如图4所示"
COVERS,E00001,E06534,10,船舶电气设备维修指南,73,"这类电器有:自动开关,熔断器,刀开关,转换开关等"
COVERS,E00001,E06535,2,船舶电气设备维修指南,73,"这类电器有:自动开关,熔断器,刀开关,转换开关等"
COVERS,E02938,E20768,1,船舶柴油机故障实例 (张庆信编),35,要改变活塞环异常磨损和改善初期干磨擦方面采取下述措施是重要的
COVERS,E02938,E40680,1,船舶柴油机故障实例 (张庆信编),35,要改变活塞环异常磨损和改善初期干磨擦方面采取下述措施是重要的
COVERS,E00001,E06553,2,船舶电气设备维修指南,74,代号HRDKCQJLZBTMA名称刀开关和刀形转换开关熔断器断路器控制器接触器起动器控制继电器主令电器电阻器变阻器调整器电磁铁其他A按钮式按钮B板形元件触电保护器C插入式电磁式冲片元件旋臂式插销D刀开关漏电铁铬铝带型元件电压信号灯EFG鼓形高压管形元件H封闭式负荷开关汇流排式接线盒J交流减压接近开关K开启式负荷开关真空主令控制器L螺旋式电流励磁电铃M密闭管式灭磁灭磁NP平面中频频敏Q起动牵引R熔断
COVERS,E02938,E43849,1,船舶柴油机故障实例 (张庆信编),35,"柴油机气缸注油管线细而且长,弯弯曲曲且又固定不良,较易在振动中因磨损而出现漏油;其缸壁注油嘴被燃烧产物全部堵塞或部分脏堵的情况也极易发生;注油嘴中的小止回阀有时也会发生卡阻在开启位置,造成燃气的倒奔"
COVERS,E02938,E53164,1,船舶柴油机故障实例 (张庆信编),35,"柴油机气缸注油管线细而且长,弯弯曲曲且又固定不良,较易在振动中因磨损而出现漏油;其缸壁注油嘴被燃烧产物全部堵塞或部分脏堵的情况也极易发生;注油嘴中的小止回阀有时也会发生卡阻在开启位置,造成燃气的倒奔"
COVERS,E00001,E37031,1,船舶电气设备维修指南,74,代号HRDKCQJLZBTMA名称刀开关和刀形转换开关熔断器断路器控制器接触器起动器控制继电器主令电器电阻器变阻器调整器电磁铁其他A按钮式按钮B板形元件触电保护器C插入式电磁式冲片元件旋臂式插销D刀开关漏电铁铬铝带型元件电压信号灯EFG鼓形高压管形元件H封闭式负荷开关汇流排式接线盒J交流减压接近开关K开启式负荷开关真空主令控制器L螺旋式电流励磁电铃M密闭管式灭磁灭磁NP平面中频频敏Q起动牵引R熔断
COVERS,E00001,E48904,1,船舶电气设备维修指南,74,代号HRDKCQJLZBTMA名称刀开关和刀形转换开关熔断器断路器控制器接触器起动器控制继电器主令电器电阻器变阻器调整器电磁铁其他A按钮式按钮B板形元件触电保护器C插入式电磁式冲片元件旋臂式插销D刀开关漏电铁铬铝带型元件电压信号灯EFG鼓形高压管形元件H封闭式负荷开关汇流排式接线盒J交流减压接近开关K开启式负荷开关真空主令控制器L螺旋式电流励磁电铃M密闭管式灭磁灭磁NP平面中频频敏Q起动牵引R熔断
COVERS,E02938,E53175,1,船舶柴油机故障实例 (张庆信编),39,"如发现进气管发热,并伴有击鼓般的闷声,可测定涡轮机前的压力和压气机的排出压力(用$4\times10^{4}Pa$水银压力计测量)、排气温度,再与说明书比较(或与正常状态时的数据比较"
COVERS,E02938,E20854,1,船舶柴油机故障实例 (张庆信编),40,"刚刚打开压气机端的消音器,一片已经损断的导风叶片(从根部折断)牢牢地卡阻在两个相邻叶片之间,吸气管的内腔面留下了明显的周向划痕"
COVERS,E02938,E50064,1,船舶柴油机故障实例 (张庆信编),41,"查看透平油位是正常的,排烟温度最高的缸是$280^{\circ}C$,冷却水温度是$75^{\circ}C$"
COVERS,E02938,E52153,3,船舶柴油机故障实例 (张庆信编),41,"查看透平油位是正常的,排烟温度最高的缸是$280^{\circ}C$,冷却水温度是$75^{\circ}C$"
COVERS,E02938,E20869,2,船舶柴油机故障实例 (张庆信编),42,"理由是:透平端轴承和尚在运行的1号辅机一样都是新换的,而且在安装时都进行了仔细的清洁检查"
COVERS,E00001,E06557,26,船舶电气设备维修指南,75,"船舶各种辅助机械的动力几乎都是由电动机来驱动,电动机都是由接触器来控制的,因而,接触器在船上用量很大"
COVERS,E02938,E40712,1,船舶柴油机故障实例 (张庆信编),43,透平端轴承外套损坏
COVERS,E02938,E39200,1,船舶柴油机故障实例 (张庆信编),44,"由于活塞环的胀死导致了拉缸、活塞环断裂,最终就造成如今的后果"
COVERS,E02938,E20909,1,船舶柴油机故障实例 (张庆信编),45,"活塞环的测量是一项简单的工作,但从这次主机活塞环断裂的后果证明,这确是一件非常重要的技术工作"
COVERS,E02938,E40717,1,船舶柴油机故障实例 (张庆信编),45,"活塞环的测量是一项简单的工作,但从这次主机活塞环断裂的后果证明,这确是一件非常重要的技术工作"
COVERS,E02938,E43832,2,船舶柴油机故障实例 (张庆信编),46,"起初操作人员认为是由于启动空气压力不足(约$1.177\times10^{6}$Pa,启动转速太低难以发火"
COVERS,E02938,E53189,1,船舶柴油机故障实例 (张庆信编),46,"起初操作人员认为是由于启动空气压力不足(约$1.177\times10^{6}$Pa,启动转速太低难以发火"
COVERS,E02938,E18684,2,船舶柴油机故障实例 (张庆信编),47,"有一个航次发生了个“怪病”——在热状态下第一次启动时第四缸一声巨响,安全阀起跳,火焰喷出,而常速、低速航行时则运行正常"
COVERS,E00001,E43207,3,船舶电气设备维修指南,75,"若松动会引起接触不良,增大接触电阻,造成局部过热、断相、相间短路等故障"
COVERS,E00001,E43208,2,船舶电气设备维修指南,75,"若松动会引起接触不良,增大接触电阻,造成局部过热、断相、相间短路等故障"
COVERS,E00001,E48907,1,船舶电气设备维修指南,75,"定期检查接触器线圈是否牢固地装在铁心上,温升是否过高,使用前应用兆欧表检测线圈绝缘电阻,而且相间、对地绝缘电阻应大$1M\Omega$"
COVERS,E02938,E43846,1,船舶柴油机故障实例 (张庆信编),55,"因此,轮管人员检修时注意不要更动既定的压缩比和运行时杜绝缸盖的漏气、保"
COVERS,E02938,E49626,2,船舶柴油机故障实例 (张庆信编),56,"燃油温度太低,喷油器冷却水太冷"
COVERS,E02938,E39497,1,船舶柴油机故障实例 (张庆信编),56,活塞环磨损、粘住或断裂
COVERS,E02938,E43380,1,船舶柴油机故障实例 (张庆信编),56,活塞环磨损、粘住或断裂
COVERS,E02938,E21077,1,船舶柴油机故障实例 (张庆信编),56,扫气单向阀片损坏
COVERS,E02938,E40738,1,船舶柴油机故障实例 (张庆信编),56,扫气单向阀片损坏
COVERS,E02938,E49044,1,船舶柴油机故障实例 (张庆信编),58,"在封闭式强力润滑的柴油机中,任何运动部件的失常(如相对位置、间隙及润滑状态的变化),都有可能导致曲拐箱发生爆炸"
COVERS,E02938,E43840,1,船舶柴油机故障实例 (张庆信编),59,"某船一台运行中的六缸四冲程筒形柴油发电机,由于缸套水封圈漏水,轮机员拉出缸套更换水封圈,所用备件偏"
COVERS,E00001,E43830,7,船舶电气设备维修指南,75,"若发生触头温升过高时,就应把这些氧化物清除掉,把毛刺锉平"
COVERS,E02938,E43845,1,船舶柴油机故障实例 (张庆信编),61,"一台功率为$1100\,kW$的四冲程筒形活塞柴油机,其活塞顶被烧穿,燃烧气体进入了曲拐箱,结果发生了爆炸和失火"
COVERS,E02938,E53206,1,船舶柴油机故障实例 (张庆信编),61,"一台功率为$1100\,kW$的四冲程筒形活塞柴油机,其活塞顶被烧穿,燃烧气体进入了曲拐箱,结果发生了爆炸和失火"
COVERS,E02938,E40747,1,船舶柴油机故障实例 (张庆信编),61,"事故原因是超速控制机构的驱动杆轴承衬供油中断,机件发热以致部分溶化"
COVERS,E02938,E43848,1,船舶柴油机故障实例 (张庆信编),71,"首先出现的是扫气质量的恶化,与此相关的后果则是燃烧不良、排气冒黑烟,以及气缸内的热、功转换、热交换等一系列的失常情况"
COVERS,E02938,E11784,1,船舶柴油机故障实例 (张庆信编),75,"这是因为在轮机日志上除记载有各班主、辅机的详细运行参数外,还记有船舶动态和重要的维护管理工作"
COVERS,E02938,E49677,1,船舶柴油机故障实例 (张庆信编),76,船名机型航次航线至吃水(m)首尾平均船速(kn)滑失率气缸常数弹簧比例平均转速(r/min)油门开度负荷指示器指示(kW)燃油种类平均日耗油量(t)燃油温度(°C)机舱湿度(°C)海水温度(°C)气象(海面情况):缸号12......89增压器1号2号燃烧压力(Pa)平均转速(r/min)平均指示压力(Pa)扫气压力(Pa)指示功率(kW)扫气温度(空冷器后)(°C)油泵单调格数工况评价(附各缸示
COVERS,E02938,E50486,1,船舶柴油机故障实例 (张庆信编),76,船名机型航次航线至吃水(m)首尾平均船速(kn)滑失率气缸常数弹簧比例平均转速(r/min)油门开度负荷指示器指示(kW)燃油种类平均日耗油量(t)燃油温度(°C)机舱湿度(°C)海水温度(°C)气象(海面情况):缸号12......89增压器1号2号燃烧压力(Pa)平均转速(r/min)平均指示压力(Pa)扫气压力(Pa)指示功率(kW)扫气温度(空冷器后)(°C)油泵单调格数工况评价(附各缸示
COVERS,E02938,E08970,5,船舶柴油机故障实例 (张庆信编),77,"舵机间,地板上油迹斑斑,补油柜油位已低于下限,舵机正在小角度地左右颤动——失灵了"
COVERS,E02938,E50649,1,船舶柴油机故障实例 (张庆信编),77,"他抬头一看补充油柜,不好!油位已不足$5\,cm$,便快速补油,舵机恢复了正常"
COVERS,E02938,E40767,1,船舶柴油机故障实例 (张庆信编),78,综合所有泄漏、流失的原因:一是部件(包括管系)的质量差、振动大造成漏泄;二是保养维修不良——不注意检查管接头、法兰螺丝和垫床质量
COVERS,E02938,E46642,1,船舶柴油机故障实例 (张庆信编),78,综合所有泄漏、流失的原因:一是部件(包括管系)的质量差、振动大造成漏泄;二是保养维修不良——不注意检查管接头、法兰螺丝和垫床质量
COVERS,E02938,E48560,1,船舶柴油机故障实例 (张庆信编),78,综合所有泄漏、流失的原因:一是部件(包括管系)的质量差、振动大造成漏泄;二是保养维修不良——不注意检查管接头、法兰螺丝和垫床质量
COVERS,E02938,E43827,1,船舶柴油机故障实例 (张庆信编),79,在机舱(控制台前)设置舵机补给油柜油位低位声、光报警器
COVERS,E03014,E43437,6,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",3,液压油污染的原因及对液压系统的影响......(37
COVERS,E03014,E43307,12,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",3,污染水平的表述方法......(41
COVERS,E03014,E43445,5,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",3,油液污染度表示方法......(41
COVERS,E03014,E08973,47,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",3,液压系统产生漏油的原因与解决方法......(54
COVERS,E03014,E40778,1,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",3,液压系统产生漏油的原因与解决方法......(54
COVERS,E03014,E43849,54,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",3,液压系统产生漏油的原因与解决方法......(54
COVERS,E03014,E18460,9,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",3,管接头和油塞的漏油及解决方法......(54
COVERS,E03014,E40780,1,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",3,元件接合画间漏油及解决方法......(55
COVERS,E03014,E40781,1,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",4,壳体漏油及解决方法......(55
COVERS,E03014,E43831,6,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",4,防止油液温度过高......(84
COVERS,E03014,E18998,20,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",8,"度后,停止手摇泵的供油,排油阀就关闭,液压缸工作腔的液体被封死,液压缸2就不再运动"
COVERS,E03014,E18997,28,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",8,"液压泵的工作压力$P_{1}$决定于液压缸的工作压力$P_{2}$,而$P_{2}$的大小取决于作用在液压缸2上的负载,从而得出压力取决于负载的结论"
COVERS,E03014,E49323,18,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",9,"此外,液压传动借助各种液压控制元件,易于实现对液体压力、流量和流动方向的控制,从而易于实现工作机械对力、速度、位置和运动方向的严格要求"
COVERS,E03014,E48743,6,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",9,"其功用是调节与控制液压系统中液流的压力、流量和流动方向,以满足工作部件所需力(力矩)、速度(转速)和运动方向(运动循环)的要求"
COVERS,E03014,E40788,1,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",10,"液压传动装置防过载容易,只要在系统中设置安全阀即可,当动力源发生故障时,蓄能器可作应急之用,起安全保护作用,液压元件的运动表面可实现自润滑,使用安全可靠"
COVERS,E03014,E43448,1,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",10,"液压传动装置防过载容易,只要在系统中设置安全阀即可,当动力源发生故障时,蓄能器可作应急之用,起安全保护作用,液压元件的运动表面可实现自润滑,使用安全可靠"
COVERS,E03014,E43201,4,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",12,"液压机械的劣化会使其性能下降,精度降低及寿命缩短,造成机械劣化的主要原因是由磨损、腐蚀、冲击、疲劳以及工作介质的污染所引起,劣化的形式有使用劣化、自然劣化、偶然劣化三种"
COVERS,E03014,E43197,2,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",12,"劣化形式劣化原因预防措施使用劣化运转条件温度、压力、振动、腐蚀、过载、疲劳等控制温度,选用耐热材料,采取耐压、减震措施,防止过载,提防变形和腐蚀运转环境疲劳、磨损,液压油污染、冲击、灰尘和水分等采取防锈、防腐蚀措施,提防杂质侵入,增设缓冲装置操作方法操作失误或控制失灵培训操作者,增加安全连锁措施自然劣化长期放置造成的锈蚀、变化或老化加强库存保管偶然劣化机械损伤、转向错误等加强安全保护措施"
COVERS,E03014,E43203,7,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",12,"劣化形式劣化原因预防措施使用劣化运转条件温度、压力、振动、腐蚀、过载、疲劳等控制温度,选用耐热材料,采取耐压、减震措施,防止过载,提防变形和腐蚀运转环境疲劳、磨损,液压油污染、冲击、灰尘和水分等采取防锈、防腐蚀措施,提防杂质侵入,增设缓冲装置操作方法操作失误或控制失灵培训操作者,增加安全连锁措施自然劣化长期放置造成的锈蚀、变化或老化加强库存保管偶然劣化机械损伤、转向错误等加强安全保护措施"
COVERS,E03014,E48560,10,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",12,"劣化形式劣化原因预防措施使用劣化运转条件温度、压力、振动、腐蚀、过载、疲劳等控制温度,选用耐热材料,采取耐压、减震措施,防止过载,提防变形和腐蚀运转环境疲劳、磨损,液压油污染、冲击、灰尘和水分等采取防锈、防腐蚀措施,提防杂质侵入,增设缓冲装置操作方法操作失误或控制失灵培训操作者,增加安全连锁措施自然劣化长期放置造成的锈蚀、变化或老化加强库存保管偶然劣化机械损伤、转向错误等加强安全保护措施"
COVERS,E03014,E40819,1,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",13,"在此期间发生故障可能性较大的部位应加强管理,例:防止杂质入侵、液压油污染、滤油器堵塞、系统连接处的泄漏,以及各机构间的润滑"
COVERS,E03014,E43460,1,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",13,"在此期间发生故障可能性较大的部位应加强管理,例:防止杂质入侵、液压油污染、滤油器堵塞、系统连接处的泄漏,以及各机构间的润滑"
COVERS,E03014,E43827,9,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",13,工况监视维修是指基于工况监视(根据仪表和记录仪等的指示值的异常或报警)在出现故障之前进行的预防性维修
COVERS,E03014,E21529,2,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",17,"液压泵常常希望能高速运转,这样可直接与高速原动机连接并缩小液压泵体积,而液压马达最好能与低速的工作机构直接连接,否则要采取减速措施,对于变速的液压马达也希望调速范围大,具有最低的稳定转速,齿轮液压马达漏油环节较多,采用间隙补偿提高容积效率的结构也较复杂,因此一般不适用于低速"
COVERS,E03014,E40841,1,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",17,"液压泵常常希望能高速运转,这样可直接与高速原动机连接并缩小液压泵体积,而液压马达最好能与低速的工作机构直接连接,否则要采取减速措施,对于变速的液压马达也希望调速范围大,具有最低的稳定转速,齿轮液压马达漏油环节较多,采用间隙补偿提高容积效率的结构也较复杂,因此一般不适用于低速"
COVERS,E03014,E53303,1,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",17,"液压泵常常希望能高速运转,这样可直接与高速原动机连接并缩小液压泵体积,而液压马达最好能与低速的工作机构直接连接,否则要采取减速措施,对于变速的液压马达也希望调速范围大,具有最低的稳定转速,齿轮液压马达漏油环节较多,采用间隙补偿提高容积效率的结构也较复杂,因此一般不适用于低速"
COVERS,E03014,E52400,2,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",19,供油压力变动则输出扭矩成正比地变动
COVERS,E03014,E08027,5,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",20,"控制阀的作用是用来控制和调节液压系统中油液流动的方向、压力和流量,以满足执行机构对力、速度和运动方向的要求,根据用途和工作特点的不同,控制阀主要可分"
COVERS,E03014,E20669,7,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)",21,"方向控制阀:用来控制液流的方向,如单向阀、换向阀等"
